,occupation-race-sex,number-of-people-over-50k,number-of-people-under-50k,percentage
0,"(' ?', 0, ' Amer-Indian-Eskimo')",1,12,7.6923076923076925
1,"(' ?', 0, ' Asian-Pac-Islander')",5,27,15.625
2,"(' ?', 0, ' Black')",5,85,5.555555555555555
3,"(' ?', 0, ' Other')",0,7,0.0
4,"(' ?', 0, ' White')",128,732,14.883720930232558
5,"(' ?', 1, ' Amer-Indian-Eskimo')",1,11,8.333333333333332
6,"(' ?', 1, ' Asian-Pac-Islander')",0,33,0.0
7,"(' ?', 1, ' Black')",4,121,3.2
8,"(' ?', 1, ' Other')",2,14,12.5
9,"(' ?', 1, ' White')",45,610,6.870229007633588
10,"(' Adm-clerical', 0, ' Amer-Indian-Eskimo')",2,7,22.22222222222222
11,"(' Adm-clerical', 0, ' Asian-Pac-Islander')",15,41,26.785714285714285
12,"(' Adm-clerical', 0, ' Black')",27,96,21.951219512195124
13,"(' Adm-clerical', 0, ' Other')",0,7,0.0
14,"(' Adm-clerical', 0, ' White')",251,787,24.18111753371869
15,"(' Adm-clerical', 1, ' Amer-Indian-Eskimo')",1,21,4.545454545454546
16,"(' Adm-clerical', 1, ' Asian-Pac-Islander')",7,76,8.433734939759036
17,"(' Adm-clerical', 1, ' Black')",15,352,4.087193460490464
18,"(' Adm-clerical', 1, ' Other')",1,18,5.263157894736842
19,"(' Adm-clerical', 1, ' White')",188,1858,9.188660801564028
20,"(' Armed-Forces', 0, ' Amer-Indian-Eskimo')",0,1,0.0
21,"(' Armed-Forces', 0, ' Black')",0,1,0.0
22,"(' Armed-Forces', 0, ' White')",1,6,14.285714285714285
23,"(' Craft-repair', 0, ' Amer-Indian-Eskimo')",6,36,14.285714285714285
24,"(' Craft-repair', 0, ' Asian-Pac-Islander')",25,58,30.120481927710845
25,"(' Craft-repair', 0, ' Black')",44,160,21.568627450980394
26,"(' Craft-repair', 0, ' Other')",5,19,20.833333333333336
27,"(' Craft-repair', 0, ' White')",829,2695,23.52440408626561
28,"(' Craft-repair', 1, ' Amer-Indian-Eskimo')",0,2,0.0
29,"(' Craft-repair', 1, ' Asian-Pac-Islander')",0,6,0.0
30,"(' Craft-repair', 1, ' Black')",5,35,12.5
31,"(' Craft-repair', 1, ' Other')",0,4,0.0
32,"(' Craft-repair', 1, ' White')",15,155,8.823529411764707
33,"(' Exec-managerial', 0, ' Amer-Indian-Eskimo')",0,11,0.0
34,"(' Exec-managerial', 0, ' Asian-Pac-Islander')",52,44,54.166666666666664
35,"(' Exec-managerial', 0, ' Black')",61,63,49.193548387096776
36,"(' Exec-managerial', 0, ' Other')",2,5,28.57142857142857
37,"(' Exec-managerial', 0, ' White')",1573,1096,58.93593106032222
38,"(' Exec-managerial', 1, ' Amer-Indian-Eskimo')",3,16,15.789473684210526
39,"(' Exec-managerial', 1, ' Asian-Pac-Islander')",9,30,23.076923076923077
40,"(' Exec-managerial', 1, ' Black')",23,97,19.166666666666668
41,"(' Exec-managerial', 1, ' Other')",0,4,0.0
42,"(' Exec-managerial', 1, ' White')",245,732,25.07676560900716
43,"(' Farming-fishing', 0, ' Amer-Indian-Eskimo')",0,9,0.0
44,"(' Farming-fishing', 0, ' Asian-Pac-Islander')",2,14,12.5
45,"(' Farming-fishing', 0, ' Black')",0,40,0.0
46,"(' Farming-fishing', 0, ' Other')",0,11,0.0
47,"(' Farming-fishing', 0, ' White')",111,742,13.012895662368113
48,"(' Farming-fishing', 1, ' Amer-Indian-Eskimo')",0,1,0.0
49,"(' Farming-fishing', 1, ' Black')",0,2,0.0
50,"(' Farming-fishing', 1, ' White')",2,60,3.225806451612903
51,"(' Handlers-cleaners', 0, ' Amer-Indian-Eskimo')",0,19,0.0
52,"(' Handlers-cleaners', 0, ' Asian-Pac-Islander')",1,15,6.25
53,"(' Handlers-cleaners', 0, ' Black')",11,135,7.534246575342466
54,"(' Handlers-cleaners', 0, ' Other')",0,10,0.0
55,"(' Handlers-cleaners', 0, ' White')",70,945,6.896551724137931
56,"(' Handlers-cleaners', 1, ' Amer-Indian-Eskimo')",0,3,0.0
57,"(' Handlers-cleaners', 1, ' Asian-Pac-Islander')",0,7,0.0
58,"(' Handlers-cleaners', 1, ' Black')",0,33,0.0
59,"(' Handlers-cleaners', 1, ' Other')",0,2,0.0
60,"(' Handlers-cleaners', 1, ' White')",4,115,3.361344537815126
61,"(' Machine-op-inspct', 0, ' Amer-Indian-Eskimo')",0,13,0.0
62,"(' Machine-op-inspct', 0, ' Asian-Pac-Islander')",8,30,21.052631578947366
63,"(' Machine-op-inspct', 0, ' Black')",19,125,13.194444444444445
64,"(' Machine-op-inspct', 0, ' Other')",1,25,3.8461538461538463
65,"(' Machine-op-inspct', 0, ' White')",202,1029,16.409423233143787
66,"(' Machine-op-inspct', 1, ' Amer-Indian-Eskimo')",0,6,0.0
67,"(' Machine-op-inspct', 1, ' Asian-Pac-Islander')",2,19,9.523809523809524
68,"(' Machine-op-inspct', 1, ' Black')",3,127,2.307692307692308
69,"(' Machine-op-inspct', 1, ' Other')",0,13,0.0
70,"(' Machine-op-inspct', 1, ' White')",15,365,3.9473684210526314
71,"(' Other-service', 0, ' Amer-Indian-Eskimo')",1,15,6.25
72,"(' Other-service', 0, ' Asian-Pac-Islander')",11,65,14.473684210526317
73,"(' Other-service', 0, ' Black')",11,212,4.932735426008969
74,"(' Other-service', 0, ' Other')",0,20,0.0
75,"(' Other-service', 0, ' White')",63,1097,5.43103448275862
76,"(' Other-service', 1, ' Amer-Indian-Eskimo')",1,16,5.88235294117647
77,"(' Other-service', 1, ' Asian-Pac-Islander')",6,46,11.538461538461538
78,"(' Other-service', 1, ' Black')",6,342,1.7241379310344827
79,"(' Other-service', 1, ' Other')",0,20,0.0
80,"(' Other-service', 1, ' White')",38,1325,2.7879677182685256
81,"(' Priv-house-serv', 0, ' White')",0,8,0.0
82,"(' Priv-house-serv', 1, ' Asian-Pac-Islander')",0,4,0.0
83,"(' Priv-house-serv', 1, ' Black')",0,28,0.0
84,"(' Priv-house-serv', 1, ' Other')",0,3,0.0
85,"(' Priv-house-serv', 1, ' White')",1,105,0.9433962264150944
86,"(' Prof-specialty', 0, ' Amer-Indian-Eskimo')",7,11,38.88888888888889
87,"(' Prof-specialty', 0, ' Asian-Pac-Islander')",74,63,54.01459854014598
88,"(' Prof-specialty', 0, ' Black')",42,64,39.62264150943396
89,"(' Prof-specialty', 0, ' Other')",8,8,50.0
90,"(' Prof-specialty', 0, ' White')",1343,1005,57.19761499148211
91,"(' Prof-specialty', 1, ' Amer-Indian-Eskimo')",4,11,26.666666666666668
92,"(' Prof-specialty', 1, ' Asian-Pac-Islander')",17,32,34.69387755102041
93,"(' Prof-specialty', 1, ' Black')",24,109,18.045112781954884
94,"(' Prof-specialty', 1, ' Other')",1,14,6.666666666666667
95,"(' Prof-specialty', 1, ' White')",339,964,26.016884113584037
96,"(' Protective-serv', 0, ' Amer-Indian-Eskimo')",1,3,25.0
97,"(' Protective-serv', 0, ' Asian-Pac-Islander')",5,8,38.46153846153847
98,"(' Protective-serv', 0, ' Black')",21,54,28.000000000000004
99,"(' Protective-serv', 0, ' Other')",1,4,20.0
100,"(' Protective-serv', 0, ' White')",173,303,36.344537815126046
101,"(' Protective-serv', 1, ' Amer-Indian-Eskimo')",1,3,25.0
102,"(' Protective-serv', 1, ' Asian-Pac-Islander')",0,2,0.0
103,"(' Protective-serv', 1, ' Black')",4,23,14.814814814814813
