marital-status,relationship,race,sex,native-country,salary
 Never-married, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Divorced, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Husband, Black, Male, United-States,0
 Married-civ-spouse, Wife, Black, Female, Cuba,0
 Married-civ-spouse, Wife, White, Female, United-States,0
 Married-spouse-absent, Not-in-family, Black, Female, Jamaica,0
 Married-civ-spouse, Husband, White, Male, United-States,1
 Never-married, Not-in-family, White, Female, United-States,1
 Married-civ-spouse, Husband, White, Male, United-States,1
 Married-civ-spouse, Husband, Black, Male, United-States,1
 Married-civ-spouse, Husband, Asian-Pac-Islander, Male, India,1
 Never-married, Own-child, White, Female, United-States,0
 Never-married, Not-in-family, Black, Male, United-States,0
 Married-civ-spouse, Husband, Asian-Pac-Islander, Male, ?,1
 Married-civ-spouse, Husband, Amer-Indian-Eskimo, Male, Mexico,0
 Never-married, Own-child, White, Male, United-States,0
 Never-married, Unmarried, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Divorced, Unmarried, White, Female, United-States,1
 Married-civ-spouse, Husband, White, Male, United-States,1
 Separated, Unmarried, Black, Female, United-States,0
 Married-civ-spouse, Husband, Black, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Divorced, Unmarried, White, Female, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,1
 Never-married, Own-child, White, Male, United-States,0
 Married-civ-spouse, Husband, Asian-Pac-Islander, Male, South,1
 Divorced, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Never-married, Not-in-family, White, Male, United-States,0
 Never-married, Own-child, Black, Male, United-States,0
 Divorced, Own-child, White, Male, United-States,0
 Married-civ-spouse, Own-child, White, Male, United-States,0
 Married-civ-spouse, Husband, Black, Male, United-States,0
 Never-married, Unmarried, White, Male, Puerto-Rico,0
 Never-married, Own-child, White, Male, United-States,0
 Married-AF-spouse, Wife, White, Female, United-States,0
 Married-civ-spouse, Husband, White, Male, ?,1
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Separated, Unmarried, White, Female, United-States,0
 Never-married, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Husband, Black, Male, United-States,1
 Married-civ-spouse, Husband, White, Male, United-States,0
 Divorced, Unmarried, White, Female, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Never-married, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Wife, Other, Female, United-States,0
 Never-married, Own-child, White, Female, ?,0
 Married-civ-spouse, Wife, White, Female, Honduras,1
 Divorced, Not-in-family, White, Male, United-States,1
 Divorced, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,1
 Married-civ-spouse, Husband, White, Male, Mexico,0
 Married-civ-spouse, Husband, White, Male, Puerto-Rico,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-spouse-absent, Not-in-family, White, Male, ?,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,1
 Divorced, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Divorced, Not-in-family, White, Female, United-States,0
 Married-civ-spouse, Wife, White, Female, United-States,1
 Married-civ-spouse, Husband, White, Male, United-States,1
 Never-married, Own-child, White, Male, United-States,0
 Never-married, Own-child, White, Male, United-States,0
 Separated, Own-child, Black, Female, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,1
 Never-married, Not-in-family, White, Male, United-States,0
 Married-civ-spouse, Other-relative, White, Male, United-States,0
 Never-married, Own-child, White, Male, Mexico,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Never-married, Own-child, White, Female, United-States,0
 Married-civ-spouse, Husband, White, Male, United-States,0
 Never-married, Not-in-family, White, Male, United-States,0
