,occupation-race-sex,number-of-people-over-50k,number-of-people-under-50k,percentage
37,"(' Exec-managerial', 0, ' White')",1573,1096,58.93593106032222
90,"(' Prof-specialty', 0, ' White')",1343,1005,57.19761499148211
109,"(' Sales', 0, ' White')",845,1330,38.85057471264368
27,"(' Craft-repair', 0, ' White')",829,2695,23.52440408626561
95,"(' Prof-specialty', 1, ' White')",339,964,26.016884113584037
129,"(' Transport-moving', 0, ' White')",285,1009,22.02472952086553
14,"(' Adm-clerical', 0, ' White')",251,787,24.18111753371869
42,"(' Exec-managerial', 1, ' White')",245,732,25.07676560900716
119,"(' Tech-support', 0, ' White')",215,301,41.66666666666667
65,"(' Machine-op-inspct', 0, ' White')",202,1029,16.409423233143787
