,occupation-race-sex,number-of-people-over-50k,number-of-people-under-50k,percentage
27,"(' Craft-repair', 0, ' White')",829,2695,23.52440408626561
19,"(' Adm-clerical', 1, ' White')",188,1858,9.188660801564028
109,"(' Sales', 0, ' White')",845,1330,38.85057471264368
80,"(' Other-service', 1, ' White')",38,1325,2.7879677182685256
75,"(' Other-service', 0, ' White')",63,1097,5.43103448275862
37,"(' Exec-managerial', 0, ' White')",1573,1096,58.93593106032222
65,"(' Machine-op-inspct', 0, ' White')",202,1029,16.409423233143787
129,"(' Transport-moving', 0, ' White')",285,1009,22.02472952086553
90,"(' Prof-specialty', 0, ' White')",1343,1005,57.19761499148211
114,"(' Sales', 1, ' White')",79,983,7.43879472693032
