,occupation-race-sex,number-of-people-over-50k,number-of-people-under-50k,percentage
37,"(' Exec-managerial', 0, ' White')",1573,1096,58.93593106032222
90,"(' Prof-specialty', 0, ' White')",1343,1005,57.19761499148211
34,"(' Exec-managerial', 0, ' Asian-Pac-Islander')",52,44,54.166666666666664
87,"(' Prof-specialty', 0, ' Asian-Pac-Islander')",74,63,54.01459854014598
89,"(' Prof-specialty', 0, ' Other')",8,8,50.0
35,"(' Exec-managerial', 0, ' Black')",61,63,49.193548387096776
119,"(' Tech-support', 0, ' White')",215,301,41.66666666666667
116,"(' Tech-support', 0, ' Asian-Pac-Islander')",12,17,41.37931034482759
88,"(' Prof-specialty', 0, ' Black')",42,64,39.62264150943396
86,"(' Prof-specialty', 0, ' Amer-Indian-Eskimo')",7,11,38.88888888888889
